,date,메종 키츠네,메종 키츠네_absolute
0,2019-01-01,1.92134,2430.3555707910996
1,2019-01-02,1.87214,2368.1211437334614
2,2019-01-03,1.67943,2124.3569884839208
3,2019-01-04,1.69583,2145.101797503133
4,2019-01-05,2.06976,2618.096092414974
5,2019-01-06,2.3453,2966.6341824853307
6,2019-01-07,1.97792,2501.925161907383
7,2019-01-08,1.94758,2463.5472652218396
8,2019-01-09,1.81883,2300.687865147228
9,2019-01-10,1.75815,2223.9320717761416
10,2019-01-11,1.61546,2043.439584035199
11,2019-01-12,1.77537,2245.7141212463143
12,2019-01-13,1.82703,2311.0602696568344
13,2019-01-14,1.82949,2314.1719910097163
14,2019-01-15,1.73519,2194.889339149244
15,2019-01-16,1.85081,2341.140242734693
16,2019-01-17,1.94266,2457.323822516076
17,2019-01-18,2.35104,2973.894865642055
18,2019-01-19,2.19441,2775.769290234782
19,2019-01-20,2.24771,2843.1899195472233
20,2019-01-21,2.19605,2777.8437711367037
21,2019-01-22,1.9894,2516.446528220832
22,2019-01-23,1.90166,2405.461799968044
23,2019-01-24,1.75569,2220.8203504232592
24,2019-01-25,1.67287,2116.059064876236
25,2019-01-26,1.82703,2311.0602696568344
26,2019-01-27,2.13291,2697.9762564127345
27,2019-01-28,1.96316,2483.2548337900917
28,2019-01-29,1.78193,2254.0120448539997
29,2019-01-30,1.56216,1976.018954722758
30,2019-01-31,1.63761,2071.4577254849282
31,2019-02-01,1.70075,2151.325240208897
32,2019-02-02,1.80407,2282.0175370299366
33,2019-02-03,2.25263,2849.413362252987
34,2019-02-04,2.29363,2901.2753848010184
35,2019-02-05,2.93736,3715.547086626492
36,2019-02-06,3.05955,3870.1085630934185
37,2019-02-07,2.85536,3611.823041530429
38,2019-02-08,2.46748,3121.183009678465
39,2019-02-09,2.72989,3453.11260325966
40,2019-02-10,3.14975,3984.205012699088
41,2019-02-11,2.61591,3308.936180576132
42,2019-02-12,2.39614,3030.94309044489
43,2019-02-13,2.45682,3107.698883815977
44,2019-02-14,2.24033,2833.8547554885777
45,2019-02-15,2.38384,3015.3844836804806
46,2019-02-16,3.04561,3852.4754754270875
47,2019-02-17,3.06283,3874.2575248972607
48,2019-02-18,2.56752,3247.726344695662
49,2019-02-19,2.38056,3011.235521876638
50,2019-02-20,2.31085,2923.057434271192
51,2019-02-21,2.32643,2942.765002839444
52,2019-02-22,2.51586,3182.380196285142
53,2019-02-23,2.95622,3739.4036169985866
54,2019-02-24,3.70409,4685.40485609606
55,2019-02-25,3.59667,4549.526357020217
56,2019-02-26,3.44988,4363.847667024471
57,2019-02-27,3.14729,3981.0932913462057
58,2019-02-28,3.03248,3835.866978937925
59,2019-03-01,3.32442,4205.149878027494
60,2019-03-02,3.11203,3936.4919519548985
61,2019-03-03,3.44168,4353.475262514865
