,date,브룩스브라더스,브룩스브라더스_absolute
0,2019-01-01,8.78468,1030.0954547823053
1,2019-01-02,7.26315,851.6801753054297
2,2019-01-03,9.51196,1115.376628638846
3,2019-01-04,9.41626,1104.1548043922407
4,2019-01-05,8.7177,1022.2413504140964
5,2019-01-06,8.3732,981.845128335147
6,2019-01-07,7.62679,894.3207622336998
7,2019-01-08,8.04784,943.6932711055188
8,2019-01-09,6.46889,758.5448970806799
9,2019-01-10,6.29665,738.3479586456197
10,2019-01-11,11.02392,1292.6697256910613
11,2019-01-12,6.52631,765.2779916286429
12,2019-01-13,7.71291,904.41923145123
13,2019-01-14,9.01435,1057.026660369743
14,2019-01-15,6.3732,747.3242454384892
15,2019-01-16,6.29665,738.3479586456197
16,2019-01-17,6.36363,746.2020630138288
17,2019-01-18,6.57416,770.8889037519455
18,2019-01-19,6.64114,778.7430081201545
19,2019-01-20,7.47368,876.3670160435462
20,2019-01-21,5.67464,665.4107914603447
21,2019-01-22,5.93301,695.7073717173495
22,2019-01-23,5.57894,654.1889672137397
23,2019-01-24,5.95215,697.9517365666704
24,2019-01-25,5.0622,593.5958066997302
25,2019-01-26,6.36363,746.2020630138288
26,2019-01-27,7.30143,856.1689050040716
27,2019-01-28,6.31578,740.5911508905263
28,2019-01-29,6.13397,719.2720300308056
29,2019-01-30,5.77033,676.6314431025354
30,2019-01-31,5.7799,677.7536255271958
31,2019-02-01,5.60765,657.5555144877211
32,2019-02-02,6.31578,740.5911508905263
33,2019-02-03,8.03827,942.5710886808583
34,2019-02-04,7.46411,875.2448336188858
35,2019-02-05,6.98564,819.1392301991038
36,2019-02-06,7.97129,934.7169843126492
37,2019-02-07,8.1244,952.6707305028027
38,2019-02-08,6.83253,801.1854840089502
39,2019-02-09,7.71291,904.41923145123
40,2019-02-10,8.17224,958.2804700216909
41,2019-02-11,7.64593,896.5651270830209
42,2019-02-12,8.09569,949.3041832288212
43,2019-02-13,10.74641,1260.1287805847353
44,2019-02-14,7.34928,861.7798171273741
45,2019-02-15,5.96172,699.073918991331
46,2019-02-16,7.55023,885.3433028364158
47,2019-02-17,8.22009,963.8913821449935
48,2019-02-18,8.29665,972.8688415422773
49,2019-02-19,6.38277,748.4464278631498
50,2019-02-20,6.69856,785.4761026681175
51,2019-02-21,7.56937,887.5876676857368
52,2019-02-22,6.56459,769.7667213272849
53,2019-02-23,8.01913,940.3267238315373
54,2019-02-24,9.01435,1057.026660369743
55,2019-02-25,8.38277,982.9673107598076
56,2019-02-26,8.0287,941.4489062561978
57,2019-02-27,7.69377,902.1748666019089
58,2019-02-28,7.70334,903.2970490265694
59,2019-03-01,12.34449,1447.5203468544807
60,2019-03-02,11.98086,1404.880932530625
61,2019-03-03,13.38755,1569.8300229115746
62,2019-03-04,9.45454,1108.643534090883
63,2019-03-05,8.20095,961.6470172956724
64,2019-03-06,7.58851,889.8320325350579
65,2019-03-07,8.06698,945.9376359548396
66,2019-03-08,7.68421,901.053856781663
67,2019-03-09,9.07177,1063.7597549177062
68,2019-03-10,11.99043,1406.0031149552856
69,2019-03-11,10.03827,1177.091971577516
70,2019-03-12,8.45933,991.9447701570915
71,2019-03-13,7.59808,890.9542149597183
72,2019-03-14,6.8421,802.3076664336107
73,2019-03-15,7.33971,860.6576347027136
74,2019-03-16,8.2488,967.2579294189748
75,2019-03-17,10.3732,1216.3660112318048
76,2019-03-18,7.76076,910.0301435745325
77,2019-03-19,7.82775,917.8854205471561
78,2019-03-20,8.1244,952.6707305028027
79,2019-03-21,6.8421,802.3076664336107
80,2019-03-22,6.54545,767.522356477964
81,2019-03-23,8.47846,994.1879624019981
82,2019-03-24,9.34928,1096.3007000240318
83,2019-03-25,10.44019,1224.2212882044282
84,2019-03-26,7.94258,931.3504370386677
85,2019-03-27,7.84688,920.1286127920625
86,2019-03-28,7.58851,889.8320325350579
87,2019-03-29,8.05741,944.8154535301793
88,2019-03-30,8.04784,943.6932711055188
89,2019-03-31,9.66507,1133.3303748289995
90,2019-04-01,8.27751,970.6244766929564
91,2019-04-02,7.94258,931.3504370386677
92,2019-04-03,7.79904,914.5188732731744
