,date,빈폴,빈폴_absolute
0,2019-01-01,8.46476,7297.061526230098
1,2019-01-02,8.76883,7559.185614601272
2,2019-01-03,8.43321,7269.863792194809
3,2019-01-04,8.19601,7065.385107149777
4,2019-01-05,8.84453,7624.442935250131
5,2019-01-06,9.34669,8057.33086308408
6,2019-01-07,8.60985,7422.136620720754
7,2019-01-08,8.56822,7386.249404622843
8,2019-01-09,8.63761,7446.067178464642
9,2019-01-10,8.21746,7083.876118086608
10,2019-01-11,7.96386,6865.259783653976
11,2019-01-12,8.41555,7254.6399575493815
12,2019-01-13,9.1322,7872.429374233705
13,2019-01-14,8.09129,6975.111043499206
14,2019-01-15,7.77587,6703.202667289662
15,2019-01-16,7.93863,6843.510216943663
16,2019-01-17,7.26866,6265.961377906481
17,2019-01-18,7.11473,6133.265745575192
18,2019-01-19,8.12031,7000.12778650092
19,2019-01-20,8.66284,7467.816745174953
20,2019-01-21,7.89573,6806.5281950700055
21,2019-01-22,8.10517,6987.076322371148
22,2019-01-23,7.64717,6592.256601668685
23,2019-01-24,7.4188,6395.389833946368
24,2019-01-25,7.47558,6444.337134691969
25,2019-01-26,8.44709,7281.829071066752
26,2019-01-27,9.06911,7818.042526681045
27,2019-01-28,8.35877,7205.692656803779
28,2019-01-29,7.8869,6798.916277747291
29,2019-01-30,7.55254,6510.6806405986545
30,2019-01-31,7.05922,6085.413250605337
31,2019-02-01,6.95324,5994.053001696938
32,2019-02-02,7.844,6761.9342558736325
33,2019-02-03,8.17835,7050.161272504351
34,2019-02-04,7.20305,6209.402159838166
35,2019-02-05,7.95755,6859.820236846918
36,2019-02-06,10.31946,8895.908984716689
37,2019-02-07,10.21726,8807.807291581774
38,2019-02-08,9.64571,8315.101589906024
39,2019-02-09,10.57811,9118.878680698552
40,2019-02-10,10.71185,9234.169487350839
41,2019-02-11,9.64823,8317.27396042168
42,2019-02-12,9.06154,7811.51679461616
43,2019-02-13,8.56191,7380.809857815784
44,2019-02-14,8.54298,7364.49121739461
45,2019-02-15,8.10139,6983.8177665976655
46,2019-02-16,8.79785,7584.202357602989
47,2019-02-17,9.51071,8198.72459799591
48,2019-02-18,8.51144,7337.30210387724
49,2019-02-19,8.37265,7217.657935675723
50,2019-02-20,7.8869,6798.916277747291
51,2019-02-21,7.4617,6432.371855820026
52,2019-02-22,7.43394,6408.441298076139
53,2019-02-23,8.21494,7081.703747570951
54,2019-02-24,9.2407,7965.961993657761
55,2019-02-25,9.48169,8173.707854994195
56,2019-02-26,8.26036,7120.858139960265
57,2019-02-27,8.04713,6937.042836367718
58,2019-02-28,7.37717,6359.502617848455
59,2019-03-01,8.8685,7645.106316702614
60,2019-03-02,8.83191,7613.563841636014
61,2019-03-03,9.52837,8213.948432641337
62,2019-03-04,7.65348,6597.696148475743
63,2019-03-05,7.48189,6449.776681499027
64,2019-03-06,7.18034,6189.824963643508
65,2019-03-07,7.30651,6298.59003823091
66,2019-03-08,7.64213,6587.911860637374
67,2019-03-09,8.07867,6964.23194988509
68,2019-03-10,9.48673,8178.052596025505
69,2019-03-11,8.14807,7024.058344244808
70,2019-03-12,7.1223,6139.7914776400785
71,2019-03-13,7.0895,6111.51617886488
72,2019-03-14,6.78038,5845.038728944475
73,2019-03-15,6.56589,5660.1372400941
74,2019-03-16,7.5967,6548.748847730141
75,2019-03-17,8.36887,7214.399379902239
76,2019-03-18,7.96134,6863.087413138321
77,2019-03-19,7.47937,6447.604310983373
78,2019-03-20,7.58283,6536.792189376117
79,2019-03-21,7.23712,6238.772264389111
80,2019-03-22,6.67314,5752.592294778247
81,2019-03-23,7.44656,6419.320391690255
82,2019-03-24,8.41807,7256.812328065037
83,2019-03-25,7.86797,6782.597637326117
84,2019-03-26,8.02316,6916.379454915234
85,2019-03-27,7.92853,6834.803493845203
86,2019-03-28,6.91791,5963.5967118881645
87,2019-03-29,6.76398,5830.901079556876
88,2019-03-30,7.53867,6498.72398224463
89,2019-03-31,8.12662,7005.5673333079785
