,date,스톤 아일랜드,스톤 아일랜드_absolute
0,2019-01-01,7.42177,11831.38992006995
1,2019-01-02,7.45327,11881.605540128536
2,2019-01-03,6.95064,11080.33960012706
3,2019-01-04,6.75183,10763.407300957304
4,2019-01-05,7.48897,11938.516576194932
5,2019-01-06,7.98319,12726.375742714099
6,2019-01-07,7.29296,11626.047887697052
7,2019-01-08,7.05845,11252.2045524609
8,2019-01-09,6.90024,10999.994608033323
9,2019-01-10,6.55582,10450.938612459424
10,2019-01-11,6.32481,10082.674790563116
11,2019-01-12,6.47392,10320.378000307102
12,2019-01-13,7.33426,11691.886145107195
13,2019-01-14,6.94084,11064.7169627755
14,2019-01-15,6.77423,10799.116186332298
15,2019-01-16,6.66993,10632.846688804984
16,2019-01-17,6.50822,10375.057231037563
17,2019-01-18,6.22121,9917.521195703772
18,2019-01-19,6.72803,10725.466610246374
19,2019-01-20,7.76268,12374.85046083732
20,2019-01-21,6.87224,10955.35850131458
21,2019-01-22,6.49632,10356.086885682098
22,2019-01-23,6.1771,9847.203386155068
23,2019-01-24,6.40812,10215.48314951806
24,2019-01-25,6.1624,9823.769430127728
25,2019-01-26,6.69653,10675.25099018779
26,2019-01-27,7.17815,11443.023908683523
27,2019-01-28,7.13055,11367.142527261663
28,2019-01-29,8.0042,12759.868764219844
29,2019-01-30,6.62793,10565.89252872687
30,2019-01-31,6.25131,9965.50501042642
31,2019-02-01,6.38221,10174.178809336538
32,2019-02-02,7.21806,11506.646302224417
33,2019-02-03,8.31291,13251.99778226066
34,2019-02-04,8.57822,13674.940834887426
35,2019-02-05,10.31991,16451.450145993353
36,2019-02-06,10.61253,16917.929344137578
37,2019-02-07,10.64893,16975.956282871943
38,2019-02-08,9.40217,14988.437982419839
39,2019-02-09,9.10115,14508.567952259991
40,2019-02-10,9.49317,15133.50532925575
41,2019-02-11,8.71333,13890.32599127204
42,2019-02-12,9.18865,14648.055785756062
43,2019-02-13,8.37521,13351.31311970986
44,2019-02-14,7.71018,12291.15776073968
45,2019-02-15,8.44592,13464.035230641368
46,2019-02-16,8.60973,13725.172396412698
47,2019-02-17,8.72103,13902.600920619698
48,2019-02-18,8.28001,13199.550356866139
49,2019-02-19,7.88589,12571.26527186647
50,2019-02-20,8.1134,12933.949580422937
51,2019-02-21,8.1113,12930.60187241903
52,2019-02-22,7.64648,12189.610617954542
53,2019-02-23,8.22611,13113.625851432558
54,2019-02-24,9.43577,15042.001310482328
55,2019-02-25,8.96814,14296.53050387928
56,2019-02-26,8.182,13043.308041883854
57,2019-02-27,8.0861,12890.429376372163
58,2019-02-28,7.94959,12672.81241465161
59,2019-03-01,9.27826,14790.907268722718
60,2019-03-02,9.45677,15075.478390521386
61,2019-03-03,10.0763,16063.10007607361
62,2019-03-04,8.35141,13313.37242899893
63,2019-03-05,7.68358,12248.753459356874
64,2019-03-06,7.45887,11890.532761472285
65,2019-03-07,7.48827,11937.400673526963
66,2019-03-08,7.39446,11787.853774552492
67,2019-03-09,9.09065,14491.829412240462
68,2019-03-10,10.29821,16416.857163286324
69,2019-03-11,8.60553,13718.476980404885
70,2019-03-12,8.1358,12969.65846579793
71,2019-03-13,7.90549,12602.51054656959
72,2019-03-14,7.80819,12447.400075721962
73,2019-03-15,8.60833,13722.94059107676
74,2019-03-16,11.47567,18293.901099609542
75,2019-03-17,11.01785,17564.06887182474
76,2019-03-18,9.08995,14490.713509572493
77,2019-03-19,8.72313,13905.9486286236
78,2019-03-20,8.57052,13662.665905539772
79,2019-03-21,7.74308,12343.605186134202
80,2019-03-22,7.64578,12188.494715286573
81,2019-03-23,8.90374,14193.867458426175
82,2019-03-24,10.30521,16428.016189966012
83,2019-03-25,8.72663,13911.528141963445
84,2019-03-26,7.86489,12537.788191827414
85,2019-03-27,7.40077,11797.912840030893
86,2019-03-28,7.21806,11506.646302224417
87,2019-03-29,7.32166,11671.799897083762
88,2019-03-30,9.56877,15254.022817396355
89,2019-03-31,11.11305,17715.831634668462
90,2019-04-01,9.59537,15296.42711877916
91,2019-04-02,9.39796,14981.72662494534
92,2019-04-03,8.89044,14172.665307734771
93,2019-04-04,8.22611,13113.625851432558
94,2019-04-05,7.97549,12714.100813366445
95,2019-04-06,9.76548,15567.607408562202
96,2019-04-07,11.52887,18378.709702375152
97,2019-04-08,9.83059,15671.402298149966
98,2019-04-09,9.12705,14549.856350974827
99,2019-04-10,8.85264,14112.406563664468
100,2019-04-11,8.49912,13548.843833406978
101,2019-04-12,8.28841,13212.941188881761
102,2019-04-13,9.27686,14788.67546338678
103,2019-04-14,10.34301,16488.274934036315
104,2019-04-15,8.47182,13505.323629356204
105,2019-04-16,7.83899,12496.499793112578
106,2019-04-17,7.92159,12628.176307932868
107,2019-04-18,7.82359,12471.949934417271
108,2019-04-19,7.52887,12002.12302826914
109,2019-04-20,9.12705,14549.856350974827
110,2019-04-21,9.93559,15838.787698345246
111,2019-04-22,7.64088,12180.683396610793
112,2019-04-23,7.30416,11643.90233038455
113,2019-04-24,6.97724,11122.743901509864
114,2019-04-25,6.78193,10811.391115679953
115,2019-04-26,6.51102,10379.520841709438
116,2019-04-27,7.36926,11747.681278505623
117,2019-04-28,8.42352,13428.326345266376
118,2019-04-29,7.40147,11799.028742698862
119,2019-04-30,6.75883,10774.566327636989
120,2019-05-01,7.18795,11458.646546035083
121,2019-05-02,6.43472,10257.887450900866
122,2019-05-03,6.1365,9782.48103141289
123,2019-05-04,7.03605,11216.495667085908
124,2019-05-05,7.36786,11745.449473169687
125,2019-05-06,7.39446,11787.853774552492
126,2019-05-07,6.44172,10269.04647758055
127,2019-05-08,5.88099,9375.160616137684
128,2019-05-09,5.43857,8669.87824704819
129,2019-05-10,5.44137,8674.341857720063
130,2019-05-11,6.32341,10080.44298522718
131,2019-05-12,6.95624,11089.266821470808
132,2019-05-13,5.94119,9471.128245582979
133,2019-05-14,5.60098,8928.783607483578
134,2019-05-15,5.39306,8597.328632163548
135,2019-05-16,5.39796,8605.139950839328
136,2019-05-17,5.14665,8204.514951571931
137,2019-05-18,5.78858,9227.845522499149
138,2019-05-19,6.49702,10357.202788350067
139,2019-05-20,5.10465,8137.560791493818
140,2019-05-21,5.22016,8321.700673175314
141,2019-05-22,4.90444,7818.396686988127
142,2019-05-23,4.95134,7893.16216574202
143,2019-05-24,4.72313,7529.361954517586
144,2019-05-25,5.01225,7990.261639321969
145,2019-05-26,5.33006,8496.897392046376
146,2019-05-27,4.91984,7842.946545683434
147,2019-05-28,4.54812,7250.370346058762
148,2019-05-29,4.50752,7185.647991316588
149,2019-05-30,4.53832,7234.747708707202
