,date,스튜디오 톰보이,스튜디오 톰보이_absolute
0,2019-01-01,1.33829,1692.8396623367132
1,2019-01-02,1.35387,1712.547230904965
2,2019-01-03,1.31205,1659.6479679059728
3,2019-01-04,1.19315,1509.2481025166812
4,2019-01-05,1.69911,2149.250759306976
5,2019-01-06,2.12635,2689.6783328050496
6,2019-01-07,2.09108,2645.06434413995
7,2019-01-08,1.89756,2400.275597713241
8,2019-01-09,1.74585,2208.3734650117317
9,2019-01-10,1.73847,2199.038300953086
10,2019-01-11,1.63761,2071.4577254849282
11,2019-01-12,1.75815,2223.9320717761416
12,2019-01-13,1.92708,2437.6162539478237
13,2019-01-14,1.55314,1964.609309762191
14,2019-01-15,1.58594,2006.0989278006161
15,2019-01-16,1.53838,1945.9389816448997
16,2019-01-17,1.41948,1795.539116255608
17,2019-01-18,1.34567,1702.1748263953587
18,2019-01-19,1.48344,1876.4438714305375
19,2019-01-20,1.85819,2350.4754067933386
20,2019-01-21,2.07796,2628.4684969245804
21,2019-01-22,1.77455,2244.676880795354
22,2019-01-23,1.71551,2169.9955683261887
23,2019-01-24,1.65975,2099.4632176608657
24,2019-01-25,1.35223,1710.472750003044
25,2019-01-26,1.50312,1901.3376422535925
26,2019-01-27,1.71305,2166.8838469733064
27,2019-01-28,1.44572,1828.7308106863481
28,2019-01-29,1.51378,1914.8217681160806
29,2019-01-30,1.37601,1740.552723080902
30,2019-01-31,1.62612,2056.9237098976873
31,2019-02-01,1.41948,1795.539116255608
32,2019-02-02,1.50722,1906.5238445083955
33,2019-02-03,1.64171,2076.6439277397317
34,2019-02-04,1.45638,1842.2149365488365
35,2019-02-05,1.46622,1854.661821960364
36,2019-02-06,1.98366,2509.1858450641075
37,2019-02-07,1.86393,2357.736089950063
38,2019-02-08,1.52608,1930.3803748804903
39,2019-02-09,1.87952,2377.456307792107
40,2019-02-10,2.07058,2619.133332865935
41,2019-02-11,1.70731,2159.6231638165823
42,2019-02-12,1.65729,2096.3514963079833
43,2019-02-13,1.4572,1843.252176999797
44,2019-02-14,1.30303,1648.2383229454058
45,2019-02-15,1.31697,1665.8714106117366
46,2019-02-16,1.65729,2096.3514963079833
47,2019-02-17,2.0304,2568.308550768864
48,2019-02-18,1.74093,2202.1500223059684
49,2019-02-19,1.63432,2067.2961144072938
50,2019-02-20,1.52936,1934.5293366843327
51,2019-02-21,1.57528,1992.614801938128
52,2019-02-22,1.56298,1977.0561951737186
53,2019-02-23,1.88034,2378.493548243068
54,2019-02-24,2.3371,2956.2617779757243
55,2019-02-25,2.15669,2728.0562294905935
56,2019-02-26,1.97218,2494.664478750659
57,2019-02-27,1.81145,2291.3527010885823
58,2019-02-28,1.8869,2386.7914718507527
59,2019-03-01,2.29035,2897.126422997176
60,2019-03-02,2.23787,2830.743034135696
61,2019-03-03,2.58967,3275.7444861453914
62,2019-03-04,1.88116,2379.530788694028
63,2019-03-05,1.94102,2455.2493416141547
64,2019-03-06,1.91232,2418.9459258305324
65,2019-03-07,1.81555,2296.5389033433858
66,2019-03-08,1.66549,2106.7239008175898
67,2019-03-09,2.15423,2724.944508137711
68,2019-03-10,2.37646,3006.0493196218345
69,2019-03-11,1.99842,2527.856173181399
70,2019-03-12,1.77701,2247.788602148236
71,2019-03-13,1.66221,2102.574939013747
72,2019-03-14,1.5105,1910.6728063122382
73,2019-03-15,1.66795,2109.8356221704717
74,2019-03-16,2.00498,2536.154096789084
75,2019-03-17,2.456,3106.661643365016
76,2019-03-18,1.932,2443.8396966535875
77,2019-03-19,1.80735,2286.1664988337793
78,2019-03-20,1.77865,2249.8630830501575
79,2019-03-21,1.71961,2175.1817705809917
80,2019-03-22,1.50558,1904.4493636064742
81,2019-03-23,1.78931,2263.3472089126453
82,2019-03-24,2.41582,3055.836861267945
83,2019-03-25,1.84753,2336.9912809308503
84,2019-03-26,1.71469,2168.958327875228
85,2019-03-27,1.59086,2012.3223705063801
86,2019-03-28,1.64335,2078.718408641653
87,2019-03-29,2.16735,2741.5403553530814
88,2019-03-30,2.26493,2864.9719690173965
89,2019-03-31,2.16817,2742.5775958040417
90,2019-04-01,1.82293,2305.8740674020314
91,2019-04-02,1.66713,2108.7983817195113
92,2019-04-03,1.66467,2105.6866603666294
93,2019-04-04,1.51542,1916.896249018002
94,2019-04-05,1.38667,1754.0368489433906
95,2019-04-06,1.5269,1931.4176153314506
96,2019-04-07,2.0345,2573.494753023667
97,2019-04-08,1.75487,2219.783109972299
98,2019-04-09,1.58676,2007.136168251577
99,2019-04-10,1.4982,1895.1141995478285
100,2019-04-11,1.44326,1825.6190893334663
101,2019-04-12,1.44818,1831.84253203923
102,2019-04-13,1.54576,1955.2741457035454
103,2019-04-14,1.69255,2140.952835699291
104,2019-04-15,1.37355,1737.4410017280204
105,2019-04-16,1.28827,1629.5679948281147
106,2019-04-17,1.12508,1423.1444958131567
107,2019-04-18,1.07178,1355.7238665007153
108,2019-04-19,0.93976,1188.7281538960535
109,2019-04-20,1.22841,1553.8494419079884
110,2019-04-21,1.37929,1744.7016848847447
111,2019-04-22,1.16444,1472.9320374592667
112,2019-04-23,1.1054,1398.2507249901012
113,2019-04-24,1.03242,1305.936324854605
114,2019-04-25,0.9824,1242.6646573460066
115,2019-04-26,0.98322,1243.7018977969672
116,2019-04-27,1.31697,1665.8714106117366
117,2019-04-28,1.50886,1908.598325410317
118,2019-04-29,1.21775,1540.3653160455003
119,2019-04-30,1.10294,1395.1390036372195
120,2019-05-01,1.35961,1719.8079140616896
121,2019-05-02,1.12344,1421.0700149112351
122,2019-05-03,1.14066,1442.8520643814086
123,2019-05-04,1.35059,1708.3982691011227
124,2019-05-05,1.36289,1723.956875865532
125,2019-05-06,1.531,1936.6038175862539
126,2019-05-07,1.21857,1541.4025564964606
127,2019-05-08,1.13164,1431.4424194208416
128,2019-05-09,1.11688,1412.7720913035503
129,2019-05-10,1.18823,1503.0246598109172
130,2019-05-11,1.25301,1584.9666554368073
131,2019-05-12,1.49,1884.7417950382223
132,2019-05-13,1.25629,1589.1156172406497
133,2019-05-14,1.12508,1423.1444958131567
134,2019-05-15,1.13328,1433.516900322763
135,2019-05-16,1.0931,1382.6921182256917
