,date,아더에러,아더에러_absolute
0,2019-01-01,3.35209,1533.0080134746643
1,2019-01-02,3.64133,1665.285857392164
2,2019-01-03,5.13015,2346.1664395428074
3,2019-01-04,3.81847,1746.2971188758659
4,2019-01-05,4.1548,1900.11058604767
5,2019-01-06,4.11668,1882.6772040460967
6,2019-01-07,4.58082,2094.94189245665
7,2019-01-08,4.94181,2260.0330931058625
8,2019-01-09,6.34319,2900.924826300116
9,2019-01-10,4.51803,2066.226203687532
10,2019-01-11,3.63909,1664.2614404015153
11,2019-01-12,3.26688,1494.0390082187862
12,2019-01-13,3.71532,1699.1236311145256
13,2019-01-14,3.78708,1731.941561136375
14,2019-01-15,3.65927,1673.4903398976262
15,2019-01-16,3.59649,1644.7792244186448
16,2019-01-17,3.40142,1555.5680537196174
17,2019-01-18,3.25119,1486.863515994109
18,2019-01-19,3.13459,1433.5389529987406
19,2019-01-20,3.42608,1566.8457871970254
20,2019-01-21,4.24224,1940.0994350040598
21,2019-01-22,3.81398,1744.2437116044318
22,2019-01-23,4.02699,1841.6593648089215
23,2019-01-24,3.49783,1599.6591439287383
24,2019-01-25,4.40144,2012.9062139822995
25,2019-01-26,4.09202,1871.3994705686885
26,2019-01-27,4.09874,1874.4727215406344
27,2019-01-28,4.34987,1989.3217567466977
28,2019-01-29,3.8364,1754.4970280911914
29,2019-01-30,4.68396,2142.1108069278534
30,2019-01-31,3.24222,1482.761274741378
31,2019-02-01,3.32967,1522.7546969879047
32,2019-02-02,3.40814,1558.6413046915632
33,2019-02-03,4.02251,1839.6105308276242
34,2019-02-04,3.92609,1795.5148673283666
35,2019-02-05,5.97771,2733.7802183794693
36,2019-02-06,6.9867,3195.2206198948825
37,2019-02-07,8.44413,3861.7456443060346
38,2019-02-08,6.73109,3078.322750707522
39,2019-02-09,6.06515,2773.769067335859
40,2019-02-10,5.39249,2466.14213299225
41,2019-02-11,4.92836,2253.882017871834
42,2019-02-12,4.75346,2173.895173378781
43,2019-02-13,4.18843,1915.4905607778098
44,2019-02-14,5.16827,2363.5998215443806
45,2019-02-15,4.66602,2133.9063244223908
46,2019-02-16,4.527,2070.3284449402627
47,2019-02-17,5.33644,2440.508841775351
48,2019-02-18,6.89701,3154.202780657707
49,2019-02-19,7.29164,3334.678529327196
50,2019-02-20,5.40819,2473.322198507064
51,2019-02-21,5.07858,2322.581982307205
52,2019-02-22,6.87459,3143.949464170948
53,2019-02-23,8.17507,3738.696699884646
54,2019-02-24,7.045,3221.882901392567
55,2019-02-25,6.6257,3030.124845955533
56,2019-02-26,5.39698,2468.195540263684
57,2019-02-27,5.17051,2364.6242385350292
58,2019-02-28,5.4194,2478.448856750444
59,2019-03-01,5.34765,2445.635500018731
60,2019-03-02,5.0158,2293.8708668282234
61,2019-03-03,4.41713,2020.0817062069764
62,2019-03-04,4.27363,1954.4549927435507
63,2019-03-05,4.30054,1966.7617165017443
64,2019-03-06,3.70636,1695.0259631519311
65,2019-03-07,3.34985,1531.9835964840156
66,2019-03-08,3.37451,1543.2613299614238
67,2019-03-09,4.21534,1927.7972845360034
68,2019-03-10,4.27588,1955.483983024336
69,2019-03-11,3.73102,1706.3036966293391
70,2019-03-12,4.04493,1849.863847314384
71,2019-03-13,8.54279,3906.8657247959413
72,2019-03-14,10.53386,4817.439804068575
73,2019-03-15,6.26919,2867.0824792876174
74,2019-03-16,6.27368,2869.1358865590514
75,2019-03-17,6.28713,2875.28696179308
76,2019-03-18,5.15706,2358.473163301001
77,2019-03-19,5.06962,2318.484314344611
78,2019-03-20,4.74225,2168.7685151354012
79,2019-03-21,4.70638,2152.364123414613
80,2019-03-22,4.73777,2166.719681154104
81,2019-03-23,5.5046,2517.413288716185
82,2019-03-24,6.19296,2832.220288574608
83,2019-03-25,4.73328,2164.6662738826694
84,2019-03-26,4.02699,1841.6593648089215
85,2019-03-27,4.59651,2102.1173846813267
86,2019-03-28,4.37902,2002.6528974955397
87,2019-03-29,3.48886,1595.5569026760072
88,2019-03-30,3.92385,1794.490450337718
89,2019-03-31,4.75122,2172.870756388132
90,2019-04-01,5.60102,2561.508952215443
91,2019-04-02,5.48442,2508.184389220074
92,2019-04-03,4.35211,1990.3461737373461
93,2019-04-04,4.1548,1900.11058604767
94,2019-04-05,3.82744,1750.399360128597
95,2019-04-06,4.32745,1979.068440259938
96,2019-04-07,4.61669,2111.346284177438
97,2019-04-08,3.7512,1715.53259612545
98,2019-04-09,3.61891,1655.0325409054044
99,2019-04-10,4.10547,1877.5505458027171
100,2019-04-11,4.45749,2038.5395051991984
101,2019-04-12,4.08977,1870.370480287903
102,2019-04-13,3.77811,1727.8393198836438
103,2019-04-14,3.85658,1763.7259275873025
104,2019-04-15,3.8095,1742.1948776231345
105,2019-04-16,3.37899,1545.310163942721
106,2019-04-17,3.49783,1599.6591439287383
107,2019-04-18,9.39258,4295.499347333115
108,2019-04-19,5.50236,2516.3888717255363
109,2019-04-20,4.73777,2166.719681154104
110,2019-04-21,5.59429,2558.4311279533604
111,2019-04-22,5.16379,2361.5509875630833
112,2019-04-23,5.65707,2587.1422434323417
113,2019-04-24,4.24,1939.0750180134114
114,2019-04-25,4.31624,1973.9417820165581
115,2019-04-26,3.3633,1538.134671718044
116,2019-04-27,5.15033,2355.3953390389183
117,2019-04-28,6.02704,2756.3402586244224
118,2019-04-29,4.5427,2077.5085104550762
119,2019-04-30,3.87901,1773.9838173641988
120,2019-05-01,3.69066,1687.845897637117
121,2019-05-02,5.28711,2417.948801530398
122,2019-05-03,5.04719,2308.2264245677143
123,2019-05-04,4.77589,2184.1530631556775
124,2019-05-05,5.41491,2476.3954494790096
125,2019-05-06,4.95078,2264.1353343585934
126,2019-05-07,4.29606,1964.712882520447
127,2019-05-08,3.82968,1751.4237771192456
128,2019-05-09,3.23774,1480.7124407600809
129,2019-05-10,3.3476,1530.9546062032302
130,2019-05-11,3.26688,1494.0390082187862
131,2019-05-12,3.62339,1657.0813748867017
132,2019-05-13,3.97766,1819.0993245639684
133,2019-05-14,3.68618,1685.7970636558198
134,2019-05-15,3.97318,1817.0504905826713
135,2019-05-16,4.06062,1857.039339539061
136,2019-05-17,3.36778,1540.1835056993414
137,2019-05-18,3.64133,1665.285857392164
138,2019-05-19,3.91712,1791.4126260756354
139,2019-05-20,4.50458,2060.075128453503
140,2019-05-21,3.68842,1686.8214806464684
141,2019-05-22,4.27812,1956.508400014985
142,2019-05-23,3.62788,1659.1347821581357
143,2019-05-24,3.63685,1663.2370234108666
144,2019-05-25,3.16823,1448.9235010190166
145,2019-05-26,4.28484,1959.5816509869305
146,2019-05-27,3.64806,1668.3636816542466
147,2019-05-28,3.52698,1612.9902846775806
148,2019-05-29,3.46644,1585.3035861892477
149,2019-05-30,2.8745,1314.5922498300827
150,2019-05-31,2.8745,1314.5922498300827
151,2019-06-01,2.90141,1326.8989735882762
152,2019-06-02,4.77813,2185.1774801463257
153,2019-06-03,5.45752,2495.882238752017
154,2019-06-04,6.87459,3143.949464170948
