,date,아크네 스튜디오,아크네 스튜디오_absolute
0,2019-01-01,1.54147,2457.3292651335496
1,2019-01-02,1.56527,2495.2699558444806
2,2019-01-03,2.1302,3395.851233295158
3,2019-01-04,1.87539,2989.6467206879197
4,2019-01-05,1.75848,2803.2750336704867
5,2019-01-06,1.81449,2892.5631885746557
6,2019-01-07,1.69058,2695.032474877537
7,2019-01-08,1.63738,2610.223872111927
8,2019-01-09,1.93419,3083.3825447972786
9,2019-01-10,1.60588,2560.008252053342
10,2019-01-11,1.55827,2484.1109291647954
11,2019-01-12,1.85089,2950.5901273090208
12,2019-01-13,2.90654,4633.451057939024
13,2019-01-14,2.0784,3313.2744358654854
14,2019-01-15,1.95729,3120.2073328402407
15,2019-01-16,1.79278,2857.9542644009457
16,2019-01-17,1.64088,2615.8033854517694
17,2019-01-18,1.62058,2583.4422080806817
18,2019-01-19,1.59747,2546.601478571034
19,2019-01-20,1.79418,2860.186069736883
20,2019-01-21,1.50437,2398.1864237312166
21,2019-01-22,1.61568,2575.6308894049016
22,2019-01-23,1.50577,2400.418229067154
23,2019-01-24,1.46447,2334.579971657009
24,2019-01-25,1.35386,2158.2514086512924
25,2019-01-26,1.42317,2268.7417142468644
26,2019-01-27,1.63248,2602.412553436147
27,2019-01-28,1.44067,2296.639280946078
28,2019-01-29,1.42667,2274.321227586707
29,2019-01-30,1.44557,2304.450599621858
30,2019-01-31,1.26636,2018.7635751552234
31,2019-02-01,1.43927,2294.4074756101413
32,2019-02-02,1.51067,2408.2295477429334
33,2019-02-03,1.56107,2488.5745398366694
34,2019-02-04,1.53377,2445.054335785896
35,2019-02-05,1.63528,2606.8761641080214
36,2019-02-06,1.76198,2808.8545470103295
37,2019-02-07,1.64158,2616.919288119738
38,2019-02-08,1.67728,2673.8303241861345
39,2019-02-09,1.74168,2776.493369639241
40,2019-02-10,1.80749,2881.4041618949705
41,2019-02-11,1.55127,2472.9519024851097
42,2019-02-12,1.44277,2299.986988949984
43,2019-02-13,1.35246,2156.019603315355
44,2019-02-14,1.57017,2503.0812745202606
45,2019-02-15,1.61358,2572.283181400996
46,2019-02-16,1.51067,2408.2295477429334
47,2019-02-17,1.83339,2922.692560609807
48,2019-02-18,1.50927,2405.997742406996
49,2019-02-19,1.50227,2394.838715727311
50,2019-02-20,1.30836,2085.7177352333365
51,2019-02-21,1.43997,2295.5233782781097
52,2019-02-22,1.35386,2158.2514086512924
53,2019-02-23,1.45117,2313.3778209656066
54,2019-02-24,1.73818,2770.9138562993985
55,2019-02-25,1.48757,2371.4047596999712
56,2019-02-26,1.39306,2220.7419580575315
57,2019-02-27,1.43787,2292.175670274204
58,2019-02-28,1.39236,2219.626055389563
59,2019-03-01,1.70458,2717.350528236908
60,2019-03-02,1.73958,2773.1456616353353
61,2019-03-03,1.58487,2526.5152305476004
62,2019-03-04,1.30836,2085.7177352333365
63,2019-03-05,1.32236,2108.0357885927074
64,2019-03-06,1.48197,2362.477538356223
65,2019-03-07,1.37976,2199.539807366129
66,2019-03-08,1.22226,1948.4617070732045
67,2019-03-09,1.39236,2219.626055389563
68,2019-03-10,1.58417,2525.3993278796315
69,2019-03-11,1.34756,2148.2082846395756
70,2019-03-12,1.26636,2018.7635751552234
71,2019-03-13,1.22016,1945.1139990692989
72,2019-03-14,1.29016,2056.704265866154
73,2019-03-15,1.27826,2037.7339205106887
74,2019-03-16,1.33146,2122.542523276299
75,2019-03-17,1.68218,2681.641642861914
76,2019-03-18,1.41337,2253.1190768953047
77,2019-03-19,1.39796,2228.5532767333116
78,2019-03-20,1.33776,2132.585647288016
79,2019-03-21,1.26076,2009.8363538114752
80,2019-03-22,1.15715,1844.6668174854437
81,2019-03-23,1.29786,2068.9791952138085
82,2019-03-24,1.47217,2346.854901004663
83,2019-03-25,1.38046,2200.6557100340974
84,2019-03-26,1.33566,2129.2379392841103
85,2019-03-27,1.33636,2130.3538419520787
86,2019-03-28,1.53587,2448.4020437898016
87,2019-03-29,1.81379,2891.4472859066873
88,2019-03-30,1.85369,2955.053737980895
89,2019-03-31,3.50157,5582.01615011235
90,2019-04-01,2.1813,3477.3121280568625
91,2019-04-02,4.90934,7826.208005663907
92,2019-04-03,2.90164,4625.639739263244
93,2019-04-04,2.0917,3334.476586556888
94,2019-04-05,1.70038,2710.6551122290966
95,2019-04-06,1.76058,2806.6227416743923
96,2019-04-07,100.0,159414.66685265038
97,2019-04-08,8.70353,13874.703353920482
98,2019-04-09,8.81414,14051.031916926198
99,2019-04-10,5.12635,8172.153774200844
100,2019-04-11,4.0357,6433.497710172412
101,2019-04-12,3.46377,5521.7574060420475
102,2019-04-13,3.36716,5367.746896395703
103,2019-04-14,3.08155,4912.442666397848
104,2019-04-15,2.0504,3268.638329146743
105,2019-04-16,1.55617,2480.7632211608898
106,2019-04-17,1.42247,2267.625811578896
107,2019-04-18,1.45047,2312.2619182976377
108,2019-04-19,1.27966,2039.965725846626
109,2019-04-20,1.37346,2189.4966833544117
110,2019-04-21,1.83829,2930.5038792855867
111,2019-04-22,1.73608,2767.566148295493
112,2019-04-23,1.48827,2372.5206623679396
113,2019-04-24,1.24746,1988.6342031200725
114,2019-04-25,1.21876,1942.8821937333619
115,2019-04-26,1.15225,1836.8554988096641
116,2019-04-27,1.34126,2138.1651606278583
117,2019-04-28,1.26706,2019.879477823192
118,2019-04-29,2.0245,3227.3499304319075
119,2019-04-30,1.63248,2602.412553436147
120,2019-05-01,1.43227,2283.2484489304557
121,2019-05-02,1.28246,2044.4293365185001
122,2019-05-03,1.13265,1805.6102241065444
123,2019-05-04,1.14735,1829.0441801338843
124,2019-05-05,1.24326,1981.9387871122613
125,2019-05-06,1.40777,2244.1918555515563
126,2019-05-07,1.31956,2103.5721779208334
127,2019-05-08,1.23346,1966.3161497607014
128,2019-05-09,1.26426,2015.4158671513176
129,2019-05-10,1.23066,1961.8525390888274
130,2019-05-11,1.18795,1893.7665348760604
131,2019-05-12,1.76128,2807.7386443423607
132,2019-05-13,1.53237,2442.822530449959
133,2019-05-14,1.36646,2178.3376566747265
134,2019-05-15,1.22576,1954.0412204130473
135,2019-05-16,1.22436,1951.80941507711
136,2019-05-17,1.13755,1813.4215427823247
137,2019-05-18,1.05775,1686.2086386339095
138,2019-05-19,1.26006,2008.7204511435064
139,2019-05-20,1.10675,1764.321825391708
140,2019-05-21,1.13405,1807.8420294424816
141,2019-05-22,1.07525,1714.1062053331234
142,2019-05-23,0.99614,1587.9932623859916
143,2019-05-24,0.97724,1557.8638903508406
144,2019-05-25,0.97724,1557.8638903508406
145,2019-05-26,1.05565,1682.8609306300038
146,2019-05-27,1.50087,2392.6069103913737
147,2019-05-28,1.19215,1900.4619508838716
148,2019-05-29,0.99054,1579.0660410422431
149,2019-05-30,0.98074,1563.4434036906832
150,2019-05-31,0.84354,1344.726480768847
151,2019-06-01,0.99894,1592.4568730578658
152,2019-06-02,1.02555,1634.877115907356
153,2019-06-03,1.19705,1908.2732695596515
154,2019-06-04,1.33146,2122.542523276299
155,2019-06-05,1.09345,1743.1196747003057
156,2019-06-06,1.23766,1973.0115657685128
157,2019-06-07,1.35386,2158.2514086512924
158,2019-06-08,1.04305,1662.77468260657
159,2019-06-09,1.14665,1827.9282774659155
160,2019-06-10,1.09135,1739.7719666964
161,2019-06-11,1.09485,1745.351480036243
162,2019-06-12,0.99894,1592.4568730578658
163,2019-06-13,1.05705,1685.092735965941
164,2019-06-14,1.05285,1678.3973199581296
165,2019-06-15,1.05285,1678.3973199581296
166,2019-06-16,1.07245,1709.642594661249
167,2019-06-17,1.13335,1806.7261267745132
168,2019-06-18,1.08295,1726.3811346807774
169,2019-06-19,0.99754,1590.2250677219286
170,2019-06-20,1.05915,1688.4404439698467
171,2019-06-21,1.01085,1611.4431598800165
172,2019-06-22,1.01505,1618.1385758878278
173,2019-06-23,1.09695,1748.6991880401486
174,2019-06-24,1.07245,1709.642594661249
175,2019-06-25,1.13615,1811.1897374463874
176,2019-06-26,1.08715,1733.0765506885887
177,2019-06-27,0.96674,1541.1253503313123
178,2019-06-28,1.02555,1634.877115907356
179,2019-06-29,1.11305,1774.3649494034253
180,2019-06-30,1.20546,1921.6800430419594
181,2019-07-01,1.10325,1758.7423120518654
182,2019-07-02,1.09765,1749.815090708117
183,2019-07-03,1.09765,1749.815090708117
184,2019-07-04,1.01155,1612.559062547985
185,2019-07-05,1.00035,1594.7046198604883
186,2019-07-06,1.03115,1643.8043372511045
187,2019-07-07,1.13195,1804.494321438576
188,2019-07-08,1.15995,1849.1304281573182
189,2019-07-09,1.15015,1833.5077908057583
190,2019-07-10,1.11235,1773.2490467354564
191,2019-07-11,1.04585,1667.238293278444
192,2019-07-12,1.05705,1685.092735965941
