,date,앤더슨벨,앤더슨벨_absolute
0,2019-01-01,5.66604,2591.244484685073
1,2019-01-02,5.29832,2423.0754597737778
2,2019-01-03,6.04049,2762.491333858451
3,2019-01-04,5.60774,2564.5822031873886
4,2019-01-05,5.75125,2630.2134899409507
5,2019-01-06,6.16605,2819.9135648164142
6,2019-01-07,5.7916,2648.6667156430362
7,2019-01-08,5.85887,2679.4312383934516
8,2019-01-09,5.88802,2692.762379142294
9,2019-01-10,5.22881,2391.2865200327137
10,2019-01-11,4.78934,2190.3041383897057
11,2019-01-12,4.41713,2020.0817062069764
12,2019-01-13,5.45976,2496.906655742666
13,2019-01-14,4.58306,2095.966309447298
14,2019-01-15,4.17273,1908.3104952629956
15,2019-01-16,4.17722,1910.3639025344298
16,2019-01-17,4.11219,1880.6237967746629
17,2019-01-18,3.77586,1726.8103296028585
18,2019-01-19,4.02251,1839.6105308276242
19,2019-01-20,5.59878,2560.484535224794
20,2019-01-21,5.6212,2570.737851711554
21,2019-01-22,5.03598,2303.0997663243347
22,2019-01-23,4.42386,2023.159530469059
23,2019-01-24,3.58528,1639.652566175265
24,2019-01-25,3.2781,1499.1702397523027
25,2019-01-26,3.40366,1556.5924707102658
26,2019-01-27,3.97318,1817.0504905826713
27,2019-01-28,3.78483,1730.9125708555896
28,2019-01-29,3.34312,1528.905772221933
29,2019-01-30,3.34088,1527.8813552312843
30,2019-01-31,3.09199,1414.0567370158699
31,2019-02-01,3.41039,1559.6702949723485
32,2019-02-02,3.33191,1523.7791139785534
33,2019-02-03,3.80053,1738.0926363704034
34,2019-02-04,3.58976,1641.7014001565622
35,2019-02-05,4.02251,1839.6105308276242
36,2019-02-06,4.5696,2089.810660923133
37,2019-02-07,5.91044,2703.015695629054
38,2019-02-08,5.33195,2438.4554345039173
39,2019-02-09,4.87454,2229.2685703554466
40,2019-02-10,5.55169,2538.9489119704895
41,2019-02-11,5.85663,2678.406821402803
42,2019-02-12,5.17724,2367.702062797112
43,2019-02-13,3.76465,1721.6836713594787
44,2019-02-14,3.64582,1667.339264663598
45,2019-02-15,3.31621,1516.5990484637393
46,2019-02-16,3.81847,1746.2971188758659
47,2019-02-17,4.69068,2145.1840578997994
48,2019-02-18,4.50234,2059.0507114628545
49,2019-02-19,4.18395,1913.4417267965125
50,2019-02-20,4.06062,1857.039339539061
51,2019-02-21,3.75793,1718.6104203875327
52,2019-02-22,3.31173,1514.550214482442
53,2019-02-23,3.52025,1609.912460415498
54,2019-02-24,3.93955,1801.670515852532
55,2019-02-25,3.77586,1726.8103296028585
56,2019-02-26,3.47092,1587.3524201705447
57,2019-02-27,3.98439,1822.1771488260508
58,2019-02-28,6.47323,2960.3958912393764
59,2019-03-01,5.92165,2708.1423538724334
60,2019-03-02,4.96199,2269.2619926019734
61,2019-03-03,5.25348,2402.5688268002586
62,2019-03-04,4.11219,1880.6237967746629
63,2019-03-05,3.85883,1764.754917868088
64,2019-03-06,3.76465,1721.6836713594787
65,2019-03-07,4.56512,2087.7618269418363
66,2019-03-08,3.68842,1686.8214806464684
67,2019-03-09,3.87228,1770.905993102116
68,2019-03-10,4.97096,2273.3642338547047
69,2019-03-11,4.13237,1889.8526962707738
70,2019-03-12,4.5001,2058.026294472206
71,2019-03-13,3.87004,1769.8815761114677
72,2019-03-14,3.36554,1539.1590887086927
73,2019-03-15,3.19065,1459.1768175057762
74,2019-03-16,3.48214,1592.4836517040612
75,2019-03-17,3.81398,1744.2437116044318
76,2019-03-18,3.85883,1764.754917868088
77,2019-03-19,3.41935,1563.767962934943
78,2019-03-20,3.88797,1778.0814853267932
79,2019-03-21,3.33415,1524.8035309692018
80,2019-03-22,2.83862,1298.183284819158
81,2019-03-23,2.93055,1340.2255410469818
82,2019-03-24,3.77362,1725.7859126122098
83,2019-03-25,3.43505,1570.9480284497567
84,2019-03-26,3.29379,1506.3457319769798
85,2019-03-27,3.29379,1506.3457319769798
86,2019-03-28,2.86553,1310.4900085773515
87,2019-03-29,2.88123,1317.6700740921654
88,2019-03-30,2.75118,1258.1944358627682
89,2019-03-31,3.50904,1604.7858021721183
90,2019-04-01,3.45523,1580.1769279458676
91,2019-04-02,3.3476,1530.9546062032302
92,2019-04-03,3.20186,1464.303475749156
93,2019-04-04,2.92159,1336.1278730843874
94,2019-04-05,2.86777,1311.5144255680002
95,2019-04-06,2.6301,1202.8210388861023
96,2019-04-07,3.80501,1740.1414703517005
97,2019-04-08,3.16599,1447.899084028368
98,2019-04-09,3.13684,1434.5679432795257
99,2019-04-10,2.9754,1360.7367473106378
100,2019-04-11,3.01576,1379.1945463028599
101,2019-04-12,2.59198,1185.3876568845287
102,2019-04-13,2.81844,1288.9543853230468
103,2019-04-14,3.30052,1509.4235562390625
104,2019-04-15,3.07181,1404.8278375197588
105,2019-04-16,3.01127,1377.1411390314258
106,2019-04-17,2.89468,1323.8211493261938
107,2019-04-18,2.81844,1288.9543853230468
108,2019-04-19,2.59871,1188.4654811466114
109,2019-04-20,2.9597,1353.556681795824
110,2019-04-21,3.89022,1779.1104756075786
111,2019-04-22,4.24224,1940.0994350040598
112,2019-04-23,3.49783,1599.6591439287383
113,2019-04-24,3.20859,1467.3813000112386
114,2019-04-25,3.018,1380.2189632935083
115,2019-04-26,2.71306,1240.7610538611948
116,2019-04-27,2.7736,1268.4477523495277
117,2019-04-28,4.8454,2215.942002896741
118,2019-04-29,4.65705,2129.80408316966
119,2019-04-30,3.81174,1743.2192946137832
120,2019-05-01,3.45299,1579.152510955219
121,2019-05-02,3.4485,1577.0991036837852
122,2019-05-03,3.00903,1376.1167220407772
123,2019-05-04,2.54041,1161.803199648927
124,2019-05-05,2.54938,1165.9054409016583
125,2019-05-06,2.80723,1283.8277270796673
126,2019-05-07,2.8745,1314.5922498300827
127,2019-05-08,2.6727,1222.3032548689728
128,2019-05-09,4.94629,2262.08192708716
129,2019-05-10,3.39245,1551.4658124668863
130,2019-05-11,2.88347,1318.694491082814
131,2019-05-12,3.43505,1570.9480284497567
132,2019-05-13,3.66824,1677.5925811503575
133,2019-05-14,3.98439,1822.1771488260508
134,2019-05-15,3.71981,1701.1770383859593
135,2019-05-16,3.50456,1602.736968190821
136,2019-05-17,2.81396,1286.9055513417497
137,2019-05-18,2.98212,1363.8099982825836
138,2019-05-19,3.36778,1540.1835056993414
139,2019-05-20,3.41039,1559.6702949723485
140,2019-05-21,3.15926,1444.8212597662855
141,2019-05-22,3.1772,1453.0257422717477
142,2019-05-23,2.86553,1310.4900085773515
143,2019-05-24,2.81172,1285.8811343511013
144,2019-05-25,2.54041,1161.803199648927
145,2019-05-26,2.80723,1283.8277270796673
146,2019-05-27,3.02024,1381.243380284157
147,2019-05-28,3.02697,1384.3212045462396
148,2019-05-29,2.87674,1315.6166668207313
149,2019-05-30,2.70185,1235.634395617815
150,2019-05-31,2.33637,1068.4897876971684
151,2019-06-01,2.62337,1199.7432146240196
152,2019-06-02,3.2198,1472.5079582546184
153,2019-06-03,3.8364,1754.4970280911914
154,2019-06-04,4.24897,1943.1772592661425
155,2019-06-05,4.02026,1838.581540546839
156,2019-06-06,4.11668,1882.6772040460967
157,2019-06-07,3.48214,1592.4836517040612
158,2019-06-08,2.91037,1330.9966415508707
159,2019-06-09,3.25119,1486.863515994109
160,2019-06-10,3.45299,1579.152510955219
161,2019-06-11,3.37675,1544.2857469520723
162,2019-06-12,3.08975,1413.0323200252212
163,2019-06-13,2.75342,1259.2188528534168
164,2019-06-14,3.11441,1424.3100535026292
165,2019-06-15,3.1615,1445.8456767569342
166,2019-06-16,3.16823,1448.9235010190166
167,2019-06-17,3.33639,1525.8279479598505
168,2019-06-18,3.30052,1509.4235562390625
169,2019-06-19,2.88571,1319.7189080734627
170,2019-06-20,2.86329,1309.465591586703
171,2019-06-21,5.00683,2289.7686255754925
172,2019-06-22,4.63911,2121.599600664197
173,2019-06-23,3.77811,1727.8393198836438
174,2019-06-24,3.67945,1682.7192393937373
175,2019-06-25,3.28258,1501.2190737336
176,2019-06-26,3.25119,1486.863515994109
177,2019-06-27,2.75342,1259.2188528534168
178,2019-06-28,2.52472,1154.6277074242498
179,2019-06-29,2.46418,1126.941008935917
180,2019-06-30,2.7579,1261.267686834714
181,2019-07-01,2.89019,1321.7677420547598
182,2019-07-02,2.83862,1298.183284819158
183,2019-07-03,2.56283,1172.0565161356865
184,2019-07-04,2.52472,1154.6277074242498
185,2019-07-05,2.39243,1094.1276522042042
186,2019-07-06,2.50454,1145.398807928139
187,2019-07-07,2.69736,1233.580988346381
188,2019-07-08,2.91037,1330.9966415508707
189,2019-07-09,2.60319,1190.5143151279087
190,2019-07-10,2.76015,1262.2966771154993
191,2019-07-11,2.19511,1003.8874912243914
192,2019-07-12,2.16821,991.5853407563346
193,2019-07-13,2.24668,1027.4719484599932
194,2019-07-14,2.48884,1138.2187424133253
195,2019-07-15,2.62561,1200.767631614668
196,2019-07-16,2.55611,1168.9832651637407
197,2019-07-17,2.30722,1055.1586469483261
198,2019-07-18,2.29377,1049.0075717142977
199,2019-07-19,2.10991,964.9230592586503
200,2019-07-20,2.06058,942.3630190136969
201,2019-07-21,2.62561,1200.767631614668
202,2019-07-22,2.56956,1175.1343403977692
203,2019-07-23,5.56066,2543.051153223221
204,2019-07-24,8.78943,4019.66135273057
205,2019-07-25,6.08982,2785.0513741034038
206,2019-07-26,4.45301,2036.490671217901
207,2019-07-27,3.89246,1780.134892598227
208,2019-07-28,3.67497,1680.6704054124402
209,2019-07-29,3.94179,1802.6949328431804
210,2019-07-30,3.80277,1739.117053361052
211,2019-07-31,2.9754,1360.7367473106378
212,2019-08-01,2.93504,1342.2789483184158
213,2019-08-02,2.61889,1197.6943806427223
214,2019-08-03,2.76239,1263.321094106148
215,2019-08-04,2.99558,1369.9656468067487
216,2019-08-05,4.56512,2087.7618269418363
217,2019-08-06,4.71983,2158.515198648641
218,2019-08-07,4.02475,1840.634947818273
219,2019-08-08,3.20859,1467.3813000112386
220,2019-08-09,2.96419,1355.6100890672578
221,2019-08-10,2.39915,1097.20090317615
222,2019-08-11,2.83638,1297.1588678285095
223,2019-08-12,3.42384,1565.8213702063772
224,2019-08-13,3.32294,1519.676872725822
225,2019-08-14,3.24222,1482.761274741378
226,2019-08-15,3.24222,1482.761274741378
227,2019-08-16,3.03818,1389.4478627896194
228,2019-08-17,2.9171,1334.0744658129533
229,2019-08-18,2.96419,1355.6100890672578
230,2019-08-19,6.35664,2907.075901534144
231,2019-08-20,5.80282,2653.7979471765525
232,2019-08-21,4.8297,2208.7619373819275
233,2019-08-22,4.50682,2061.0995454441518
234,2019-08-23,3.89246,1780.134892598227
235,2019-08-24,3.7512,1715.53259612545
236,2019-08-25,6.01358,2750.184610100257
237,2019-08-26,7.49344,3426.967524288306
238,2019-08-27,9.78945,4476.999512993252
239,2019-08-28,7.39926,3383.896277779697
240,2019-08-29,6.28713,2875.28696179308
241,2019-08-30,5.14361,2352.3220880669724
242,2019-08-31,5.26917,2409.7443190249355
243,2019-09-01,5.46424,2498.955489723963
244,2019-09-02,5.14361,2352.3220880669724
245,2019-09-03,5.79609,2650.7201229144703
