,date,에디션,에디션_absolute
0,2019-01-01,0.23031,367.1479192283391
1,2019-01-02,0.30731,489.89721270487996
2,2019-01-03,0.29401,468.6950620134774
3,2019-01-04,0.30521,486.5495047009742
4,2019-01-05,0.26461,421.8271499587982
5,2019-01-06,0.45292,722.0209091090242
6,2019-01-07,0.30101,479.8540886931629
7,2019-01-08,0.28141,448.6088139900434
8,2019-01-09,0.26111,416.2476366189554
9,2019-01-10,0.29891,476.5063806892573
10,2019-01-11,0.28841,459.76784066972897
11,2019-01-12,0.25551,407.32041527520704
12,2019-01-13,0.27091,431.87027397051514
13,2019-01-14,0.25551,407.32041527520704
14,2019-01-15,0.27651,440.79749531426353
15,2019-01-16,0.28421,453.0724246619177
16,2019-01-17,0.26741,426.29076063067237
17,2019-01-18,0.25341,403.9727072713014
18,2019-01-19,0.27721,441.91339798223214
19,2019-01-20,0.28141,448.6088139900434
20,2019-01-21,0.24151,385.00236191583593
21,2019-01-22,0.26741,426.29076063067237
22,2019-01-23,0.26391,420.7112472908296
23,2019-01-24,0.29611,472.042770017383
24,2019-01-25,0.30241,482.0858940291001
25,2019-01-26,0.25971,414.0158312830183
26,2019-01-27,0.27581,439.68159264629503
27,2019-01-28,0.31291,498.82443404862835
28,2019-01-29,0.27791,443.0293006502007
29,2019-01-30,0.26321,419.5953446228611
30,2019-01-31,0.27791,443.0293006502007
31,2019-02-01,0.23871,380.53875124396177
32,2019-02-02,0.23241,370.4956272322448
33,2019-02-03,0.24781,395.04548592755293
34,2019-02-04,0.20861,332.55493652131395
35,2019-02-05,0.21771,347.0616712049051
36,2019-02-06,0.30241,482.0858940291001
37,2019-02-07,0.31781,506.6357527244082
38,2019-02-08,0.29751,474.27457535332013
39,2019-02-09,0.30311,483.2017966970686
40,2019-02-10,0.28561,455.30422999785475
41,2019-02-11,0.27931,445.2611059861378
42,2019-02-12,0.28491,454.1883273298862
43,2019-02-13,0.29261,466.46325667754024
44,2019-02-14,0.31291,498.82443404862835
45,2019-02-15,0.30801,491.01311537284846
46,2019-02-16,0.31571,503.2880447205025
47,2019-02-17,0.28001,446.3770086541063
48,2019-02-18,0.28281,450.8406193259806
49,2019-02-19,0.26881,428.5225659666095
50,2019-02-20,0.28281,450.8406193259806
51,2019-02-21,0.31571,503.2880447205025
52,2019-02-22,0.28911,460.88374333769747
53,2019-02-23,0.25341,403.9727072713014
54,2019-02-24,0.25551,407.32041527520704
55,2019-02-25,0.30381,484.3176993650372
56,2019-02-26,0.31291,498.82443404862835
57,2019-02-27,0.31011,494.3608233767541
58,2019-02-28,0.26251,418.47944195489254
59,2019-03-01,0.35561,566.89449679471
60,2019-03-02,0.31921,508.8675580603453
61,2019-03-03,0.29891,476.5063806892573
62,2019-03-04,0.28491,454.1883273298862
63,2019-03-05,0.29401,468.6950620134774
64,2019-03-06,0.30381,484.3176993650372
65,2019-03-07,0.31851,507.7516553923768
66,2019-03-08,0.27931,445.2611059861378
67,2019-03-09,0.31221,497.70853138065974
68,2019-03-10,0.33181,528.9538060837792
69,2019-03-11,0.31081,495.4767260447226
70,2019-03-12,0.31921,508.8675580603453
71,2019-03-13,0.28701,457.53603533379186
72,2019-03-14,0.32201,513.3311687322196
73,2019-03-15,0.33671,536.7651247595592
74,2019-03-16,0.30101,479.8540886931629
75,2019-03-17,0.30311,483.2017966970686
76,2019-03-18,0.31571,503.2880447205025
77,2019-03-19,0.39481,629.385046200949
78,2019-03-20,0.30941,493.24492070878557
79,2019-03-21,0.30101,479.8540886931629
80,2019-03-22,0.27861,444.14520331816925
81,2019-03-23,0.27651,440.79749531426353
82,2019-03-24,0.28981,461.9996460056661
83,2019-03-25,0.30311,483.2017966970686
84,2019-03-26,0.29821,475.3904780212887
85,2019-03-27,0.38361,611.5306035134522
86,2019-03-28,0.34441,549.0400541072132
87,2019-03-29,0.30801,491.01311537284846
