,date,질스튜어트,질스튜어트_absolute
0,2019-01-01,41.41626,4856.488930738764
1,2019-01-02,43.14832,5059.591050953756
2,2019-01-03,42.57416,4992.264795891783
3,2019-01-04,45.24401,5305.332585492604
4,2019-01-05,47.35885,5553.319657485187
5,2019-01-06,52.10526,6109.88578937995
6,2019-01-07,47.93301,5620.645912547161
7,2019-01-08,49.30143,5781.107445833883
8,2019-01-09,49.94258,5856.2889778684785
9,2019-01-10,49.72248,5830.479954705701
10,2019-01-11,45.79904,5370.41564830967
11,2019-01-12,48.19138,5650.942492804165
12,2019-01-13,51.94258,6090.809860765136
13,2019-01-14,52.66985,6176.089862017262
14,2019-01-15,47.67464,5590.349332290155
15,2019-01-16,45.27272,5308.6991327665855
16,2019-01-17,43.95215,5153.848511603166
17,2019-01-18,41.15789,4826.192350481759
18,2019-01-19,45.42583,5326.652878956739
19,2019-01-20,53.40669,6262.492045694049
20,2019-01-21,47.87559,5613.912817999198
21,2019-01-22,48.01913,5630.74438176469
22,2019-01-23,48.39234,5674.507151117621
23,2019-01-24,46.74641,5481.5046727245735
24,2019-01-25,43.64593,5117.941019222859
25,2019-01-26,45.57894,5344.606625146894
26,2019-01-27,53.60765,6286.056704007505
27,2019-01-28,50.00956,5864.143082236687
28,2019-01-29,46.98564,5509.556888132257
29,2019-01-30,45.85645,5377.147570253219
30,2019-01-31,48.41148,5676.751515966942
31,2019-02-01,49.05263,5751.933048001539
32,2019-02-02,54.1244,6346.651037125929
33,2019-02-03,62.01913,7272.390562041294
34,2019-02-04,58.16267,6820.180360013472
35,2019-02-05,71.5598,8391.133737954122
36,2019-02-06,90.80382,10647.69601839459
37,2019-02-07,87.95215,10313.307935329634
38,2019-02-08,84.82296,9946.377734553938
39,2019-02-09,83.08133,9742.153431914285
40,2019-02-10,88.06698,10326.772951821147
41,2019-02-11,77.75119,9117.13886253289
42,2019-02-12,69.82775,8188.032790343543
43,2019-02-13,67.21531,7881.696922686272
44,2019-02-14,63.1866,7409.288609618974
45,2019-02-15,62.48803,7327.373983036416
46,2019-02-16,64.28708,7538.331380224032
47,2019-02-17,71.62679,8398.989014926745
48,2019-02-18,65.11004,7634.832033118348
49,2019-02-19,62.28708,7303.810497327374
50,2019-02-20,59.33971,6958.200590015813
51,2019-02-21,74.89952,8782.750779467933
52,2019-02-22,100.0,11726.044144832884
53,2019-02-23,84.86124,9950.86646425258
54,2019-02-24,84.54545,9913.836789447614
55,2019-02-25,73.69377,8641.364002191613
56,2019-02-26,68.7177,8057.8678373138255
57,2019-02-27,67.61722,7928.82506670877
58,2019-02-28,64.61244,7576.483237453661
59,2019-03-01,67.84688,7955.755099691793
60,2019-03-02,67.29186,7890.673209479141
61,2019-03-03,67.62679,7929.94724913343
62,2019-03-04,51.59808,6050.413638686187
63,2019-03-05,45.01435,5278.402552509581
64,2019-03-06,44.78468,5251.471346922143
65,2019-03-07,39.08133,4582.694008187817
66,2019-03-08,43.00478,5042.759487188262
67,2019-03-09,47.78947,5603.814348781668
68,2019-03-10,55.98086,6564.340356257094
69,2019-03-11,40.70813,4773.453294335958
70,2019-03-12,37.10047,4350.41749014048
71,2019-03-13,35.74162,4191.078139278418
72,2019-03-14,33.30143,3904.9403826606217
73,2019-03-15,33.12918,3884.7422716211463
74,2019-03-16,43.98086,5157.215058877147
75,2019-03-17,50.75598,5951.66862094255
76,2019-03-18,40.51674,4751.010818447163
77,2019-03-19,38.94736,4566.984626846985
78,2019-03-20,37.93301,4448.0414980638725
79,2019-03-21,35.34928,4145.072177680581
80,2019-03-22,33.5311,3931.871588248059
81,2019-03-23,44.63157,5233.517600731991
82,2019-03-24,48.3732,5672.2627862683
83,2019-03-25,44.60287,5230.152226062423
84,2019-03-26,40.97607,4804.872057017624
85,2019-03-27,35.56937,4170.880028238944
86,2019-03-28,36.97607,4335.830291224308
87,2019-03-29,32.98564,3867.910707855653
88,2019-03-30,42.68899,5005.729812383294
89,2019-03-31,46.34449,5434.375356097661
90,2019-04-01,39.54066,4636.555246758278
91,2019-04-02,37.25358,4368.371236330634
92,2019-04-03,33.23444,3897.085105687998
93,2019-04-04,33.35885,3911.673477208584
94,2019-04-05,33.0622,3876.8881672529374
95,2019-04-06,39.57894,4641.04397645692
96,2019-04-07,44.0287,5162.8247983960355
97,2019-04-08,36.87081,4323.487457157457
98,2019-04-09,34.61244,4058.6699940037947
99,2019-04-10,31.61722,3707.4491745689315
100,2019-04-11,31.94258,3745.6010317985597
101,2019-04-12,30.77511,3608.7029842208794
102,2019-04-13,35.33014,4142.82781283126
103,2019-04-14,41.20574,4831.803262605061
104,2019-04-15,34.07655,3995.8312960360495
105,2019-04-16,36.58373,4289.824329626471
106,2019-04-17,33.51196,3929.6272233987384
107,2019-04-18,32.53588,3815.171651709853
108,2019-04-19,31.13875,3651.3435711491497
109,2019-04-20,34.93779,4096.820678629008
110,2019-04-21,39.21531,4598.404562133064
111,2019-04-22,31.13875,3651.3435711491497
112,2019-04-23,30.54545,3581.772951237856
113,2019-04-24,28.72727,3368.5723618053335
114,2019-04-25,28.91866,3391.014837694129
115,2019-04-26,27.94258,3276.5592660052444
116,2019-04-27,32.9665,3865.6663430063327
117,2019-04-28,38.75598,4544.543323562603
118,2019-04-29,33.80861,3964.412533354385
119,2019-04-30,29.62679,3474.050474096934
120,2019-05-01,32.44019,3803.951000067663
121,2019-05-02,29.03349,3404.4798541856408
122,2019-05-03,27.40669,3213.7205680374996
123,2019-05-04,31.80861,3729.8916504577273
124,2019-05-05,33.87559,3972.266637722594
125,2019-05-06,37.08133,4348.1731252911595
