,date,칼하트,칼하트_absolute
0,2019-01-01,3.55403,4495.589853570264
1,2019-01-02,3.51959,4452.025754629917
2,2019-01-03,3.29162,4163.660259989069
3,2019-01-04,3.12515,3953.087799170269
4,2019-01-05,3.41626,4321.320808535085
5,2019-01-06,3.83038,4845.152534817789
6,2019-01-07,3.83858,4855.524939327395
7,2019-01-08,3.60651,4561.973242431744
8,2019-01-09,3.55075,4491.440891766421
9,2019-01-10,3.35886,4248.7139769678415
10,2019-01-11,3.23667,4094.1525005009153
11,2019-01-12,3.31458,4192.702992615967
12,2019-01-13,3.9665,5017.334449677254
13,2019-01-14,3.77544,4775.657424603427
14,2019-01-15,3.91976,4958.211743972499
15,2019-01-16,4.00669,5068.171881048117
16,2019-01-17,3.89434,4926.057289992719
17,2019-01-18,3.95502,5002.813083363806
18,2019-01-19,8.91706,11279.43333615002
19,2019-01-20,100.0,126492.73792202835
20,2019-01-21,8.51688,10773.234697533648
21,2019-01-22,6.32903,8005.763330906551
22,2019-01-23,5.17442,6545.265529585018
23,2019-01-24,4.82098,6098.189596673402
24,2019-01-25,4.33224,5479.96898935328
25,2019-01-26,4.63565,5863.760605482507
26,2019-01-27,5.32612,6737.155013012737
27,2019-01-28,5.12931,6488.2046555083925
28,2019-01-29,4.75456,6014.1731201455905
29,2019-01-30,4.43884,5614.810247978163
30,2019-01-31,4.17561,5281.843413946008
31,2019-02-01,4.64467,5875.170250443073
32,2019-02-02,4.98991,6311.873778845084
33,2019-02-03,5.49013,6944.615752478654
34,2019-02-04,5.62954,7120.959278415755
35,2019-02-05,6.36921,8056.588113003621
36,2019-02-06,7.70668,9748.390534889375
37,2019-02-07,7.55088,9551.314849206854
38,2019-02-08,6.94815,8788.905169929412
39,2019-02-09,6.73166,8515.061041602014
40,2019-02-10,6.97357,8821.059623909192
41,2019-02-11,6.21832,7865.723220753073
42,2019-02-12,6.04611,7647.890076777548
43,2019-02-13,5.39829,6828.444821971064
44,2019-02-14,4.82344,6101.301318026283
45,2019-02-15,4.8628,6151.088859672394
46,2019-02-16,4.76358,6025.582765106158
47,2019-02-17,5.34006,6754.788100679068
48,2019-02-18,5.28594,6686.330230915665
49,2019-02-19,5.8124,7352.263898979976
50,2019-02-20,5.35728,6776.57015014924
51,2019-02-21,5.48521,6938.392309772891
52,2019-02-22,4.79474,6064.997902242662
53,2019-02-23,5.23592,6623.058563407067
54,2019-02-24,6.03463,7633.368710464099
55,2019-02-25,5.7386,7258.912258393519
56,2019-02-26,5.7468,7269.2846629031255
57,2019-02-27,5.1449,6507.924873350436
58,2019-02-28,4.8833,6177.01987094641
59,2019-03-01,5.16786,6536.967605977335
60,2019-03-02,5.30152,6706.037799483917
61,2019-03-03,5.80584,7343.96597537229
62,2019-03-04,4.68732,5929.119403166818
63,2019-03-05,4.34044,5490.341393862887
64,2019-03-06,4.347,5498.639317470573
65,2019-03-07,4.01899,5083.730487812527
66,2019-03-08,3.97635,5029.7939843625745
67,2019-03-09,4.74472,6001.726234734063
68,2019-03-10,5.62216,7111.624114357109
69,2019-03-11,4.62663,5852.35096052194
70,2019-03-12,4.05753,5132.480789007676
71,2019-03-13,3.98947,5046.389831577944
72,2019-03-14,3.75084,4744.540211074608
73,2019-03-15,3.60733,4563.010482882705
74,2019-03-16,4.69388,5937.4173267745045
75,2019-03-17,5.24084,6629.2820061128305
76,2019-03-18,4.57825,5791.153773915263
77,2019-03-19,4.15593,5256.949643122952
78,2019-03-20,4.17069,5275.619971240243
79,2019-03-21,3.68687,4663.622806625886
80,2019-03-22,3.69917,4679.181413390296
81,2019-03-23,4.44705,5625.1953017615615
82,2019-03-24,5.01287,6340.916511471983
83,2019-03-25,4.08459,5166.709723889378
84,2019-03-26,3.7902,4794.327752720718
85,2019-03-27,3.76232,4759.061577388056
86,2019-03-28,3.52943,4464.472640041445
87,2019-03-29,3.35886,4248.7139769678415
88,2019-03-30,4.00915,5071.283602400999
89,2019-03-31,4.53643,5738.254510916271
90,2019-04-01,4.03457,5103.43805638078
91,2019-04-02,3.98045,5034.980186617377
92,2019-04-03,3.49088,4415.7096895725035
93,2019-04-04,3.45972,4376.294552435999
94,2019-04-05,3.26865,4134.604878088379
95,2019-04-06,3.75412,4748.68917287845
96,2019-04-07,4.347,5498.639317470573
97,2019-04-08,3.81972,4831.668408955301
98,2019-04-09,3.62619,4586.8670132547995
99,2019-04-10,3.63849,4602.425620019209
100,2019-04-11,3.56387,4508.036738981792
101,2019-04-12,3.22027,4073.4076914817024
102,2019-04-13,3.52369,4457.211956884721
103,2019-04-14,4.17889,5285.99237574985
104,2019-04-15,3.61389,4571.308406490391
105,2019-04-16,3.28424,4154.325095930424
106,2019-04-17,3.13089,3960.3484823269932
107,2019-04-18,3.13089,3960.3484823269932
108,2019-04-19,3.27686,4144.989931871778
