,date,커스텀멜로우,커스텀멜로우_absolute
0,2019-01-01,1.71469,2168.958327875228
1,2019-01-02,1.77537,2245.7141212463143
2,2019-01-03,1.48508,1878.5183523324586
3,2019-01-04,1.43506,1815.24668482386
4,2019-01-05,1.5761,1993.6520423890888
5,2019-01-06,1.9279,2438.6534943987845
6,2019-01-07,1.69337,2141.9900761502513
7,2019-01-08,1.60726,2033.0671795255926
8,2019-01-09,1.53674,1943.8645007429784
9,2019-01-10,1.42932,1807.9860016671355
10,2019-01-11,1.4449,1827.6935702353876
11,2019-01-12,1.68927,2136.8038738954483
12,2019-01-13,2.00416,2535.1168563381234
13,2019-01-14,1.64581,2081.8301299945347
14,2019-01-15,1.54166,1950.0879434487422
15,2019-01-16,1.5802,1998.838244643892
16,2019-01-17,1.42686,1804.8742803142536
17,2019-01-18,1.44654,1829.7680511373087
18,2019-01-19,1.68845,2135.7666334444875
19,2019-01-20,2.0919,2646.101584590911
20,2019-01-21,1.86639,2360.847811302945
21,2019-01-22,1.79751,2273.7196134222518
22,2019-01-23,1.55642,1968.7582715660335
23,2019-01-24,2.54292,3216.6091311668433
24,2019-01-25,1.54084,1949.0507029977816
25,2019-01-26,1.76553,2233.2672358347872
26,2019-01-27,2.07304,2622.2450542188167
27,2019-01-28,1.73929,2200.075541404047
28,2019-01-29,1.65729,2096.3514963079833
29,2019-01-30,1.63268,2065.221633505372
30,2019-01-31,1.50476,1903.4121231555139
31,2019-02-01,1.44572,1828.7308106863481
32,2019-02-02,1.71715,2172.07004922811
33,2019-02-03,1.8705,2366.0466628315403
34,2019-02-04,1.77783,2248.8258425991967
35,2019-02-05,1.62284,2052.7747480938447
36,2019-02-06,2.13127,2695.901775510814
37,2019-02-07,2.34694,2968.7086633872523
38,2019-02-08,1.97546,2498.813440554501
39,2019-02-09,2.25673,2854.5995645077905
40,2019-02-10,2.58147,3265.372081635785
41,2019-02-11,2.15587,2727.0189890396327
42,2019-02-12,1.94348,2458.3610629670366
43,2019-02-13,1.8869,2386.7914718507527
44,2019-02-14,1.87624,2373.3073459882644
45,2019-02-15,1.64909,2085.9790917983773
46,2019-02-16,1.91724,2425.169368536296
47,2019-02-17,2.38876,3021.6079263862443
48,2019-02-18,2.10995,2668.933523785837
49,2019-02-19,1.81965,2301.7251055981887
50,2019-02-20,1.73437,2193.852098698283
51,2019-02-21,1.86229,2355.6616090481416
52,2019-02-22,1.72781,2185.554175090598
53,2019-02-23,2.05254,2596.314042944801
54,2019-02-24,3.422,4328.58149169181
55,2019-02-25,2.23705,2829.705793684735
56,2019-02-26,2.05254,2596.314042944801
57,2019-02-27,2.61345,3305.8244592232495
58,2019-02-28,1.84753,2336.9912809308503
59,2019-03-01,2.42484,3067.2465062285123
60,2019-03-02,2.5052,3168.896070422654
61,2019-03-03,2.91932,3692.727796705358
62,2019-03-04,2.28461,2889.8657398404516
63,2019-03-05,2.09928,2655.436748649556
64,2019-03-06,1.91724,2425.169368536296
65,2019-03-07,1.8746,2371.2328650863433
66,2019-03-08,1.78439,2257.1237662068816
67,2019-03-09,2.25099,2847.3388813510655
68,2019-03-10,2.67085,3378.431290790494
69,2019-03-11,2.18785,2767.4713666270973
