,date,폴로 랄프 로렌,폴로 랄프 로렌_absolute
0,2019-01-01,4.20777,3627.315668515731
1,2019-01-02,4.45002,3836.147715109993
2,2019-01-03,4.00716,3454.3794585373003
3,2019-01-04,3.89739,3359.7520333374987
4,2019-01-05,3.98445,3434.802262342643
5,2019-01-06,4.82727,4161.356753614369
6,2019-01-07,4.42352,3813.303342623933
7,2019-01-08,3.93903,3395.647869953329
8,2019-01-09,3.77753,3256.426505557155
9,2019-01-10,4.23931,3654.5047820331015
10,2019-01-11,3.7952,3271.658960720501
11,2019-01-12,4.11693,3549.0068837371027
12,2019-01-13,5.28148,4552.90929802543
13,2019-01-14,4.77175,4113.495638126595
14,2019-01-15,4.66577,4022.1353892181946
15,2019-01-16,4.52698,3902.4912210166776
16,2019-01-17,3.96048,3414.138880890159
17,2019-01-18,3.9138,3373.898303243017
18,2019-01-19,4.27969,3689.3144333911055
19,2019-01-20,5.39125,4647.536723225233
20,2019-01-21,5.12251,4415.868924662831
21,2019-01-22,4.56736,3937.3008723746807
22,2019-01-23,4.39955,3792.639961171448
23,2019-01-24,4.27464,3684.9610718418744
24,2019-01-25,4.10557,3539.2139753808146
25,2019-01-26,4.4538,3839.4062708834763
26,2019-01-27,5.26382,4537.685463380003
27,2019-01-28,4.77301,4114.581823384422
28,2019-01-29,4.52698,3902.4912210166776
29,2019-01-30,4.05258,3493.533850926615
30,2019-01-31,4.13207,3562.058347866874
31,2019-02-01,4.03618,3479.3962015390157
32,2019-02-02,4.55853,3929.6889550519672
33,2019-02-03,5.0405,4345.172057206915
34,2019-02-04,5.29031,4560.521215348143
35,2019-02-05,5.27265,4545.2973807027165
36,2019-02-06,6.0978,5256.619416811096
37,2019-02-07,5.78995,4991.236772666438
38,2019-02-08,4.94461,4262.509910879057
39,2019-02-09,5.57672,4807.421469073892
40,2019-02-10,6.41449,5529.622598796386
41,2019-02-11,5.51616,4755.215612554806
42,2019-02-12,5.07582,4375.619726497769
43,2019-02-13,5.1061,4401.722654757312
44,2019-02-14,4.48535,3866.604004918766
45,2019-02-15,4.23427,3650.160041001791
46,2019-02-16,4.87017,4198.338775488028
47,2019-02-17,5.55149,4785.671902363579
48,2019-02-18,5.11241,4407.16220156437
49,2019-02-19,4.97363,4287.526653880772
50,2019-02-20,4.3781,3774.148950234619
51,2019-02-21,4.41595,3806.777610559047
52,2019-02-22,4.59385,3960.1366243428206
53,2019-02-23,4.94587,4263.596096136885
54,2019-02-24,6.25173,5389.315049142385
55,2019-02-25,5.57167,4803.068107524661
56,2019-02-26,4.94965,4266.854651910368
57,2019-02-27,5.24363,4520.280637701001
58,2019-02-28,5.284,4555.0816685410855
59,2019-03-01,6.44603,5556.811712313757
60,2019-03-02,6.60248,5691.679715160702
61,2019-03-03,6.97469,6012.544012633767
62,2019-03-04,5.74453,4952.082380277124
63,2019-03-05,4.96858,4283.173292331542
64,2019-03-06,5.17424,4460.462863859203
65,2019-03-07,5.22344,4502.875812022
66,2019-03-08,4.98498,4297.310941719141
67,2019-03-09,5.88457,5072.80411321855
68,2019-03-10,6.82202,5880.9345655603065
69,2019-03-11,5.67766,4894.43697695098
70,2019-03-12,5.70163,4915.100358403465
71,2019-03-13,5.68649,4902.048894273694
72,2019-03-14,6.32239,5450.227628759931
73,2019-03-15,5.87574,5065.192195895836
74,2019-03-16,6.43341,5545.932618699641
75,2019-03-17,7.69386,6632.505799833746
76,2019-03-18,6.43341,5545.932618699641
77,2019-03-19,6.30977,5439.348535145815
78,2019-03-20,5.83032,5026.037803506522
79,2019-03-21,6.36402,5486.114844857842
80,2019-03-22,4.92442,4245.105085200055
81,2019-03-23,5.24237,4519.194452443174
82,2019-03-24,6.22271,5364.298306140669
83,2019-03-25,5.68649,4902.048894273694
84,2019-03-26,5.11998,4413.687933629256
85,2019-03-27,4.76544,4108.056091319537
86,2019-03-28,4.82222,4157.0033920651385
87,2019-03-29,4.51815,3894.879303693964
88,2019-03-30,4.94082,4259.242734587655
89,2019-03-31,6.0978,5256.619416811096
90,2019-04-01,5.78238,4984.711040601552
91,2019-04-02,5.31302,4580.0984115428
92,2019-04-03,5.51363,4753.034621521231
93,2019-04-04,5.67261,4890.08361540175
94,2019-04-05,5.35466,4615.994248158631
95,2019-04-06,5.8177,5015.1587098924065
96,2019-04-07,7.39988,6379.0798140431125
97,2019-04-08,6.54192,5639.473858641616
98,2019-04-09,6.06121,5225.076941744495
99,2019-04-10,5.65116,4871.59260446492
100,2019-04-11,5.2348,4512.668720378288
101,2019-04-12,5.28148,4552.90929802543
102,2019-04-13,5.99434,5167.431538418352
103,2019-04-14,7.26614,6263.789007390826
104,2019-04-15,6.49524,5599.233280994474
105,2019-04-16,6.44856,5558.992703347331
106,2019-04-17,6.68954,5766.729944165847
107,2019-04-18,6.43846,5550.285980248872
108,2019-04-19,5.95649,5134.802878093923
109,2019-04-20,6.65547,5737.359839614902
110,2019-04-21,7.80993,6732.564151322687
111,2019-04-22,7.74685,6678.185924287946
112,2019-04-23,6.94062,5983.173908082822
113,2019-04-24,6.03219,5200.06019874278
114,2019-04-25,6.01327,5183.750178839526
115,2019-04-26,5.45686,4704.095941293548
116,2019-04-27,5.98803,5161.991991611294
117,2019-04-28,7.0895,6111.51617886488
118,2019-04-29,7.02011,6051.698405023081
119,2019-04-30,6.04103,5207.680736583413
120,2019-05-01,6.95702,5997.311557470421
121,2019-05-02,6.29337,5425.210885758216
122,2019-05-03,5.97416,5150.0353332572695
123,2019-05-04,6.23659,5376.263585012613
124,2019-05-05,7.1488,6162.6358501261375
125,2019-05-06,8.46476,7297.061526230098
126,2019-05-07,7.27876,6274.6681010049415
127,2019-05-08,6.6315,5716.696458162416
128,2019-05-09,6.41575,5530.708784054214
129,2019-05-10,6.52678,5626.422394511844
130,2019-05-11,6.92296,5967.950073437394
131,2019-05-12,8.50135,7328.6040012967
132,2019-05-13,8.0118,6906.586546558945
133,2019-05-14,7.23964,6240.944634904766
134,2019-05-15,7.22829,6231.160347066398
135,2019-05-16,6.68828,5765.643758908019
136,2019-05-17,6.21009,5353.419212526554
137,2019-05-18,6.74253,5812.410068620046
138,2019-05-19,7.63708,6583.558499088144
139,2019-05-20,7.45666,6428.027114788715
140,2019-05-21,6.68828,5765.643758908019
141,2019-05-22,6.84725,5902.684132270619
142,2019-05-23,6.24794,5386.0478728509825
143,2019-05-24,6.07509,5237.042220616439
144,2019-05-25,6.14575,5297.954800233984
145,2019-05-26,7.43394,6408.441298076139
146,2019-05-27,6.90782,5954.898609307624
147,2019-05-28,6.46748,5575.3027232505865
148,2019-05-29,6.42963,5542.6740629261585
149,2019-05-30,5.84546,5039.089267636294
150,2019-05-31,5.58681,4816.119571654433
151,2019-06-01,5.9464,5126.104775513382
152,2019-06-02,7.10086,6121.309087221168
153,2019-06-03,7.22955,6232.246532324225
154,2019-06-04,6.54192,5639.473858641616
155,2019-06-05,5.94387,5123.923784479808
156,2019-06-06,6.54066,5638.387673383788
157,2019-06-07,6.04355,5209.853107099068
158,2019-06-08,5.9199,5103.260403027322
159,2019-06-09,6.89394,5942.93333043568
160,2019-06-10,6.5558,5651.439137513559
161,2019-06-11,5.85808,5049.9683612504095
162,2019-06-12,6.15458,5305.566717556699
163,2019-06-13,5.97668,5152.207703772925
164,2019-06-14,5.22723,4506.142988313402
165,2019-06-15,5.73822,4946.642833470066
166,2019-06-16,6.64286,5726.489366518705
167,2019-06-17,6.66052,5741.7132011641315
168,2019-06-18,6.72487,5797.186233974619
169,2019-06-19,5.7685,4972.745761729609
170,2019-06-20,5.9893,5163.086797387041
171,2019-06-21,6.2328,5372.996408721211
172,2019-06-22,6.33626,5462.184287113955
173,2019-06-23,7.32418,6313.822493394256
174,2019-06-24,7.12735,6144.144839189308
175,2019-06-25,6.53561,5634.034311834558
176,2019-06-26,6.47884,5585.095631606875
177,2019-06-27,5.63602,4858.541140335149
178,2019-06-28,5.47957,4723.673137488205
179,2019-06-29,6.00317,5175.043455741065
180,2019-06-30,7.50712,6471.52624820934
181,2019-07-01,7.24721,6247.470366969652
182,2019-07-02,6.98604,6022.328300472136
183,2019-07-03,6.42458,5538.320701376928
184,2019-07-04,6.2164,5358.8587593336115
