,date,헤지스,헤지스_absolute
0,2019-01-01,4.57114,3940.5594281481635
1,2019-01-02,4.79699,4135.253825354826
2,2019-01-03,4.57493,3943.8266044395664
3,2019-01-04,4.42478,3814.389527881761
4,2019-01-05,5.01779,4325.594861012259
5,2019-01-06,5.28274,4553.995483283258
6,2019-01-07,4.88026,4207.0368780685685
7,2019-01-08,4.65063,4009.083925088423
8,2019-01-09,4.45254,3838.320085625648
9,2019-01-10,4.35791,3756.744124555618
10,2019-01-11,4.26076,3672.9957929699312
11,2019-01-12,4.3882,3782.8556733330797
12,2019-01-13,4.95344,4270.12182820177
13,2019-01-14,4.55096,3923.1632229870816
14,2019-01-15,4.34151,3742.6064751680187
15,2019-01-16,4.25067,3664.29769038939
16,2019-01-17,4.04754,3489.189109895304
17,2019-01-18,4.12324,3554.4464305441606
18,2019-01-19,4.61404,3977.5414500218226
19,2019-01-20,4.92063,4241.837908908653
20,2019-01-21,4.62161,3984.0671820867087
21,2019-01-22,6.79805,5860.271184107821
22,2019-01-23,5.08718,4385.412634854058
23,2019-01-24,4.57745,3945.9989749552215
24,2019-01-25,4.34656,3746.9598367172484
25,2019-01-26,4.64684,4005.816748797021
26,2019-01-27,5.53761,4773.706623491636
27,2019-01-28,5.02031,4327.767231527914
28,2019-01-29,4.43362,3822.010065722394
29,2019-01-30,4.34151,3742.6064751680187
30,2019-01-31,4.13712,3566.4117094161047
31,2019-02-01,3.79267,3269.4779696869264
32,2019-02-02,4.33016,3732.8221873296493
33,2019-02-03,4.47778,3860.07827285388
34,2019-02-04,3.76113,3242.288856169556
35,2019-02-05,4.42352,3813.303342623933
36,2019-02-06,5.93757,5118.492858190669
37,2019-02-07,6.12556,5280.549974554983
38,2019-02-08,5.74579,4953.168565534952
39,2019-02-09,6.08645,5246.835128972727
40,2019-02-10,6.66052,5741.7132011641315
41,2019-02-11,5.82906,5024.951618248694
42,2019-02-12,5.41144,4664.941548904234
43,2019-02-13,5.18559,4470.247151697572
44,2019-02-14,5.32059,4586.624143607686
45,2019-02-15,4.92947,4249.458446749286
46,2019-02-16,5.27139,4544.211195444889
47,2019-02-17,6.04607,5212.025477614724
